Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE,Portfolio Value
2017-08-18,1575.0,2035.3,350.09999999999997,907.4,1173.1,516.8,521.0,1153.3,1474.9,245.5,9952.4
2017-08-21,1572.1000000000001,2045.5,349.20000000000005,906.3,1165.2,518.2,521.9,1162.5,1492.0,244.89999999999998,9977.800000000001
2017-08-22,1597.8,2054.6,346.5,915.6,1174.8,522.2,526.5999999999999,1162.3,1499.1,246.0,10045.5
2017-08-23,1599.8,2026.6999999999998,346.59999999999997,916.7,1164.5,520.3,527.7,1154.6,1491.0,243.9,9991.8
2017-08-24,1592.7,2021.2,347.1,915.1999999999999,1154.4,521.5999999999999,527.9,1145.2,1482.5,243.0,9950.8
2017-08-25,1598.6000000000001,2021.3,346.70000000000005,918.9,1158.4,517.7,526.5,1148.0,1496.5,244.89999999999998,9977.5
2017-08-28,1614.7,2024.6000000000001,346.5,916.0,1159.6,516.3000000000001,522.7,1155.4,1513.8999999999999,244.7,10014.4
2017-08-29,1629.1,2029.1999999999998,347.29999999999995,911.0,1158.9,514.2,520.9000000000001,1165.5,1498.4,244.4,10018.899999999998
2017-08-30,1633.5,2036.9,348.9,913.1,1154.8999999999999,513.6,523.6,1164.3000000000002,1500.0,242.8,10031.599999999999
2017-08-31,1640.0,2043.1999999999998,350.7,908.9,1159.3000000000002,510.7,522.8,1169.3000000000002,1498.7,245.5,10049.1
2017-09-01,1640.5,2035.6,350.85,917.0,1161.4,509.7,523.3,1178.3,1507.8,251.4,10075.849999999999
2017-09-05,1620.8000000000002,2009.8,350.20000000000005,895.1,1155.3,501.0,512.0,1176.7,1529.3000000000002,247.60000000000002,9997.800000000001
2017-09-06,1619.1,2020.5,357.59999999999997,901.1,1162.2,498.8,512.7,1186.2,1565.6,249.20000000000002,10073.000000000002
2017-09-07,1612.6,2044.6000000000001,355.4,885.3,1163.3,496.8,502.8,1189.2,1579.3000000000002,240.2,10069.5
2017-09-08,1586.3,2056.9,351.9,884.2,1173.0,495.79999999999995,504.3,1170.6,1596.6,238.2,10057.800000000001
2017-09-11,1615.0,2095.6,357.70000000000005,897.9000000000001,1179.3000000000002,506.59999999999997,515.3,1179.3000000000002,1583.7,237.2,10167.600000000002
2017-09-12,1608.1999999999998,2096.3999999999996,360.90000000000003,908.9,1172.6000000000001,515.7,519.9,1170.5,1599.1,239.1,10191.300000000001
2017-09-13,1596.5,2094.9,363.29999999999995,911.5,1173.7,514.6,515.9000000000001,1168.6,1600.2,241.1,10180.300000000001
2017-09-14,1582.8,2114.3,364.79999999999995,909.7,1183.7,512.9,511.3,1167.3,1593.8,242.60000000000002,10183.199999999999
2017-09-15,1598.8,2133.5,370.0,916.2,1190.1000000000001,516.5999999999999,515.6,1157.9,1584.0,239.3,10222.0
2017-09-18,1586.6999999999998,2137.6,370.0,929.2,1198.9,527.1,517.0,1160.8,1578.1,244.60000000000002,10250.0
2017-09-19,1587.3,2135.6,372.29999999999995,939.4,1230.8,533.6,520.4,1153.6,1576.6,242.0,10291.6
2017-09-20,1560.6999999999998,2105.1,370.7,946.0,1239.5,537.5,524.0,1134.3000000000002,1586.8000000000002,243.2,10247.8
2017-09-21,1533.8999999999999,2104.4,372.0,950.3,1247.8,540.6,524.2,1129.2,1591.9,247.5,10241.800000000001
2017-09-22,1518.8999999999999,2107.6,371.8,948.3,1237.5,542.5,523.6999999999999,1125.1000000000001,1599.7,248.70000000000002,10223.800000000003
2017-09-25,1505.5,2107.2999999999997,371.59999999999997,941.2,1237.7,540.3,522.0,1132.5,1611.0,251.1,10220.199999999999
2017-09-26,1531.3999999999999,2110.3,374.7,937.0,1232.8,538.0,521.1999999999999,1122.1,1612.6,249.3,10229.4
2017-09-27,1542.3,2094.7999999999997,375.4,951.8000000000001,1233.1999999999998,542.1,527.6,1116.1,1609.1999999999998,243.70000000000002,10236.2
2017-09-28,1532.8,2095.5,378.29999999999995,953.8,1236.6,542.5,530.1,1118.0,1623.6000000000001,242.39999999999998,10253.599999999999
2017-09-29,1541.2,2099.0,380.79999999999995,955.1,1255.9,551.5,530.2,1110.1000000000001,1635.6,241.8,10301.2
2017-10-02,1538.1,2127.6,390.4,968.4000000000001,1272.9,554.7,536.5,1108.7,1640.2,245.7,10383.2
2017-10-03,1544.8,2145.7,393.8,973.5,1281.0,555.8,538.0,1101.9,1651.6999999999998,248.0,10434.2
2017-10-04,1534.5079999999998,2165.2000000000003,393.40000000000003,963.6,1283.3000000000002,549.6,538.0,1114.2,1652.8999999999999,244.8,10439.508
2017-10-05,1553.8999999999999,2163.7,395.3,970.9000000000001,1280.1,553.9,544.3,1115.4,1661.2,245.39999999999998,10484.1
2017-10-06,1553.0,2165.2000000000003,396.3,969.2,1281.3,555.8,544.7,1112.7,1658.5,243.9,10480.6
2017-10-09,1558.4,2166.8,398.6,964.0999999999999,1286.3999999999999,551.4,543.3,1133.7,1657.1000000000001,234.3,10494.099999999999
2017-10-10,1559.0,2167.5,396.5,971.3,1282.5,556.1,546.5999999999999,1151.7,1651.6,233.6,10516.400000000001
2017-10-11,1565.5,2165.1,393.0,968.4000000000001,1277.7,556.5999999999999,548.8000000000001,1142.6000000000001,1652.5,230.7,10500.900000000001
2017-10-12,1560.0,2175.9,391.9,959.9,1285.0,552.1,547.4,1145.3,1645.9,230.5,10493.9
2017-10-13,1569.9,2177.2,396.70000000000005,958.6,1279.1,536.9,546.7,1139.8999999999999,1644.7,229.8,10479.5
2017-10-16,1598.8,2187.2,397.59999999999997,978.4000000000001,1277.2,538.0,547.1,1135.2,1642.2,233.6,10535.300000000001
2017-10-17,1604.7,2177.5,397.9,976.2,1286.9,531.9,539.6,1126.5,1633.5,231.9,10506.599999999999
2017-10-18,1597.6,2182.7000000000003,402.5,979.9,1287.2,534.0999999999999,544.6,1125.1000000000001,1634.5,231.20000000000002,10519.400000000001
2017-10-19,1559.8,2192.4,400.90000000000003,981.1,1285.2,537.5,528.5,1081.5,1632.4,235.79999999999998,10435.099999999999
